,.SPX,.GDAXI,.FCHI,.FTSE,.OMXSPI,.N225,.KS11,.HSI
49,0.003762671,0.006617471,0.005747325,0.005170287,0.005483663,0.005578137,0.00533454,0.008764598
50,0.004729251,0.006086773,0.006359413,0.007177043,0.006785153,0.009323025,0.01054532,0.008739937
51,0.004994818,0.006444562,0.007443181,0.007140084,0.00631738,0.008854316,0.006843558,0.00740931
52,0.003376932,0.007376227,0.006434363,0.005408154,0.005598269,0.006666849,0.007247135,0.006889637
53,0.004278637,0.006487961,0.006038139,0.006572713,0.006237386,0.004680057,0.007162023,0.005030712
54,0.004367051,0.007767474,0.00729443,0.005747501,0.006382286,0.006297688,0.006295113,0.008115681
55,0.004125702,0.005639665,0.005449255,0.007189674,0.006083583,0.003856116,0.005159089,0.00855205
56,0.004647506,0.006536904,0.006198943,0.006045567,0.007717968,0.00580138,0.004897989,0.009408695
57,0.005739558,0.008860041,0.008822715,0.008153744,0.005896786,0.007297364,0.008089961,0.008664971
58,0.004541488,0.00569845,0.005356772,0.004880022,0.004704385,0.006019483,0.005705128,0.006122668
59,0.004707453,0.006186769,0.005895652,0.005289767,0.005934357,0.00535356,0.006571916,0.006580736
60,0.006425064,0.005068469,0.006010767,0.005338312,0.004952948,0.007887299,0.006406074,0.012780515
61,0.004718174,0.004918642,0.005363011,0.00977982,0.00744259,0.005576129,0.006638595,0.008595491
62,0.003581864,0.004720186,0.004867195,0.005394086,0.007618159,0.005639963,0.007666079,0.008399474
63,0.003056781,0.003395821,0.003403604,0.00402076,0.004090736,0.007881761,0.007161215,0.007212218
64,0.003273077,0.003483687,0.0044089,0.004482524,0.005719104,0.005804028,0.006116776,0.007419502
65,0.003288497,0.004139988,0.003561949,0.003518855,0.005507244,0.007002389,0.008364982,0.00605442
66,0.005249455,0.005735087,0.005228019,0.004912111,0.00566008,0.00661537,0.007316541,0.009322585
67,0.005236996,0.005085636,0.003463426,0.006613333,0.005869717,0.006915595,0.006161974,0.007147187
68,0.004587411,0.003884244,0.004385804,0.003409927,0.004617493,0.007795384,0.006949136,0.008738144
69,0.004984563,0.003828667,0.004496426,0.004298987,0.006907168,0.005154579,0.006064363,0.005762102
70,0.003057619,0.003743767,0.004216288,0.003787432,0.004397455,0.006288809,0.004497396,0.006306333
71,0.003089499,0.003658923,0.004040203,0.003605076,0.004669409,0.005585861,0.006129772,0.004350972
72,0.00544784,0.006804124,0.006044382,0.005010301,0.006461183,0.007021243,0.006458484,0.006285432
73,0.005267014,0.006707349,0.00536366,0.005913193,0.006444094,0.004233767,0.005299886,0.00417892
74,0.0041973,0.005156967,0.00470827,0.004727935,0.005624997,0.00657107,0.006178868,0.007407836
75,0.004943504,0.004670589,0.004686744,0.005586483,0.005821958,0.006007007,0.005268373,0.005063343
76,0.01674288,0.008280247,0.01003568,0.01095425,0.015283081,0.007245046,0.00691532,0.009682346
77,0.011034976,0.016593651,0.016635954,0.019682111,0.024276502,0.021166725,0.008321502,0.011466491
